ID,NAME,SMILES,SDi,Reference,EXTERNALID,CASRN,ARTICLEID,Temperature
CpId_6170,Decachlorodiphenyl ether,Clc1c(Cl)c(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6174,"4,4'-DIBROMOBIPHENYL",Brc1ccc(-c2ccc(Br)cc2)cc1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6175,"2,3-Dichloroanisole",COc1cccc(Cl)c1Cl,0.0005477225575051058,Wang et al. 2009,None,None,A5370,25.0
CpId_6176,"2,6-Dichloroanisole",COc1c(Cl)cccc1Cl,0.0010595596569644321,Wang et al. 2009,None,None,A5370,25.0
CpId_6180,"2,5-DICHLOROBIPHENYL",Clc1ccc(Cl)c(-c2ccccc2)c1,0.08495594656728193,Wang et al. 2009,None,None,A5370,25.0
CpId_6181,"2,8-DICHLORODIBENZOFURAN",Clc1ccc2oc3ccc(Cl)cc3c2c1,0.002000000000000224,Wang et al. 2009,None,None,A5370,25.0
CpId_6182,"2,7-DICHLORODIBENZO-P-DIOXIN",Clc1ccc2c(c1)Oc1ccc(Cl)cc1O2,0.0048562674281110085,Wang et al. 2009,None,None,A5370,25.0
CpId_6183,"2,8-DICHLORODIBENZO-P-DIOXIN",Clc1ccc2c(c1)Oc1cc(Cl)ccc1O2,0.2293453540592689,Wang et al. 2009,None,None,A5370,25.0
CpId_6184,DICHLORODIFLUOROMETHANE,FC(F)(Cl)Cl,0.3723909236273085,Wang et al. 2009,None,None,A5370,25.0
CpId_6185,"2,6-Dichlorodiphenyl ether",Clc1cccc(Cl)c1Oc1ccccc1,0.00047871355387836756,Wang et al. 2009,None,None,A5370,25.0
CpId_6186,"2,4'-DICHLORODIPHENYL ETHER",Clc1ccc(Oc2ccccc2Cl)cc1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6187,"2,2'-Dichloroethyl ether",ClC(Cl)COCC(Cl)Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6188,"4,5-Dichloroveratrole",COc1cc(Cl)c(Cl)cc1OC,0.0006066300355240573,Wang et al. 2009,None,None,A5370,25.0
CpId_6189,"1,4-DIIODOBENZENE",Ic1ccc(I)cc1,0.0011269427669583865,Wang et al. 2009,None,None,A5370,25.0
CpId_6190,"2,5-Dimethoxybenzaldehyde",COc1ccc(OC)c(C=O)c1,0.00010327955589885307,Wang et al. 2009,None,None,A5370,25.0
CpId_6193,DIMETHYL TEREPHTHALATE,COC(=O)c1ccc(C(=O)OC)cc1,0.1726041783415233,Wang et al. 2009,None,None,A5370,25.0
CpId_6197,EPICHLOROHYDRIN,ClCC1CO1,0.0015769168230019824,Wang et al. 2009,None,None,A5370,25.0
CpId_6198,4-Ethoxy-3-methoxybenzaldehyde,CCOc1ccc(C=O)cc1OC,0.0006663332499583272,Wang et al. 2009,None,None,A5370,25.0
CpId_6199,3-ethoxy-4-hydroxybenzaldehyde,CCOc1cc(C=O)ccc1O,0.0001549193338482796,Wang et al. 2009,None,None,A5370,25.0
CpId_6201,ETHYLENE GLYCOL,OCCO,0.5479982253620901,Wang et al. 2009,None,None,A5370,25.0
CpId_6204,"2,2',3,4',5,5',6-HEPTACHLOROBIPHENYL",Clc1cc(Cl)c(-c2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,0.5466649138183277,Wang et al. 2009,None,None,A5370,25.0
CpId_6205,"1,2,3,4,6,7,8-HEPTACHLORODIBENZOFURAN",Clc1cc2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,0.0009919677414106016,Wang et al. 2009,None,None,A5370,25.0
CpId_6206,"1,2,3,4,6,7,8-HEPTACHLORODIBENZO-P-DIOXIN",Clc1cc2c(c(Cl)c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,0.15335717820546554,Wang et al. 2009,None,None,A5370,25.0
CpId_6207,"2,3,3',4,4',5,6-Heptachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6208,"2,2',3,3',4,4',5-Heptachlorodiphenyl ether",Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6209,"2,2',3,4,4',5,5'-Heptachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6210,"2,2',3,3',4',5,6-Heptachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6211,"2,2',3,4',5,5',6-Heptachlorodiphenyl ether",Clc1cc(Cl)c(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6213,hexachlorobenzene,Clc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,0.33389496708938116,Wang et al. 2009,None,None,A5370,25.0
CpId_6214,"2,2',4,4',5,5'-Hexachlorobiphenyl",Clc1cc(Cl)c(Cl)c(-c2cc(Cl)cc(Cl)c2Cl)c1,0.8000000000000003,Wang et al. 2009,None,None,A5370,25.0
CpId_6220,"1,2,3,6,7,8-Hexachlorodibenzofuran",Clc1cc2c(oc3cc(Cl)c(Cl)c(Cl)c32)c(Cl)c1Cl,0.01499999999999968,Wang et al. 2009,None,None,A5370,25.0
CpId_6221,"1,2,3,4,7,8-Hexachlorodibenzofuran",Clc1cc2oc3c(Cl)c(Cl)c(Cl)c(Cl)c3c2cc1Cl,0.02309401076758454,Wang et al. 2009,None,None,A5370,25.0
CpId_6222,"1,2,3,4,7,8-HEXACHLORODIBENZO-P-DIOXIN",Clc1cc2c(cc1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,0.5159590487625935,Wang et al. 2009,None,None,A5370,25.0
CpId_6223,"2,2',3,3',4,4'-Hexachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6224,"2,2',3,4,4',6'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6225,"2,2',3,4,4',5'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,0.07505553499465077,Wang et al. 2009,None,None,A5370,25.0
CpId_6226,"2,2',4,4',5,5'-HEXACHLORODIPHENYL ETHER",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6227,"2,2',4,4',5,6'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)cc2Cl)c(Cl)c1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6228,"2,3',4,4',5,5'-Hexachlorodiphenyl ether",Clc1cc(Cl)c(Oc2cc(Cl)c(Cl)c(Cl)c2)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6230,"2,3,3',4,4',5-Hexachlorodiphenyl ether",Clc1ccc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6231,"2,3,4,4',5,6-Hexachlorodiphenyl ether",Clc1ccc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6233,11-A-HYDROXYPROGESTERONE,CC(=O)C1CCC2C3CCC4=CC(=O)CC(O)C4(C)C3CCC12C,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6236,malathion,CCOC(=O)CC(S[P+]([S-])(OC)OC)C(=O)OCC,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6248,Methyl isothiocyanate,CN=C=S,0.00927505615436731,Wang et al. 2009,None,None,A5370,25.0
CpId_6256,OCTACHLORODIBENZOFURAN,Clc1c(Cl)c(Cl)c2c(oc3c(Cl)c(Cl)c(Cl)c(Cl)c32)c1Cl,0.004222637406487132,Wang et al. 2009,None,None,A5370,25.0
CpId_6257,OCTACHLORODIBENZO-p-DIOXIN,Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,0.39011236171378155,Wang et al. 2009,None,None,A5370,25.0
CpId_6258,"2,2',3,4,4',5,5',6-Octachlorodiphenyl ether",Clc1cc(Cl)c(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)cc1Cl,0.023094010767585563,Wang et al. 2009,None,None,A5370,25.0
CpId_6259,"2,2',3,3',4,4',5,5'-Octachlorodiphenyl ether",Clc1cc(Oc2cc(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,0.01732050807568943,Wang et al. 2009,None,None,A5370,25.0
CpId_6260,"2,2',3,3',4,5,5',6'-Octachlorodiphenyl ether",Clc1cc(Oc2c(Cl)c(Cl)cc(Cl)c2Cl)c(Cl)c(Cl)c1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6261,Octafluorocyclobutane,FC1(F)C(F)(F)C(F)(F)C1(F)F,0.11943263652229516,Wang et al. 2009,None,None,A5370,25.0
CpId_6263,"2,3,4,7,8-PENTACHLORODIBENZOFURAN",Clc1cc2oc3c(Cl)c(Cl)c(Cl)cc3c2cc1Cl,0.016107844879643535,Wang et al. 2009,None,None,A5370,25.0
CpId_6264,"1,2,3,4,7-PENTACHLORODIBENZO-P-DIOXIN",Clc1ccc2c(c1)Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1O2,0.003777880484131473,Wang et al. 2009,None,None,A5370,25.0
CpId_6265,"2,2',3,4,4'-Pentachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)c(Cl)c1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6266,"2,3,3',4,4'-Pentachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2Cl)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6278,Propyzamide,C#CC(C)(C)NC(=O)c1cc(Cl)cc(Cl)c1,0.00117756811551025,Wang et al. 2009,None,None,A5370,25.0
CpId_6284,"2,2',5,5'-Tetrabromobiphenyl",Brc1ccc(Br)c(-c2cc(Br)ccc2Br)c1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6285,"1,1,2,2-TETRABROMOETHANE",BrC(Br)C(Br)Br,0.008604732916914456,Wang et al. 2009,None,None,A5370,25.0
CpId_6286,"2,4,3,5-Tetrachloroanisole",COc1cc(Cl)c(Cl)c(Cl)c1Cl,0.00027386127875291775,Wang et al. 2009,None,None,A5370,25.0
CpId_6287,"2,4,5,6-Tetrachloroanisole",COc1c(Cl)cc(Cl)c(Cl)c1Cl,0.014142135623731277,Wang et al. 2009,None,None,A5370,25.0
CpId_6291,"2,2',4,6'-Tetrachlorobenzyl 3-toluene",Cc1c(Cl)ccc(Cc2c(Cl)cccc2Cl)c1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6292,"2,2',4,4'-Tetrachlorobenzyl 3-toluene",Cc1c(Cl)ccc(Cc2ccc(Cl)cc2Cl)c1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6293,"2,2',5,5'-Tetrachlorobenzyl 4-toluene",Cc1cc(Cl)c(Cc2cc(Cl)ccc2Cl)cc1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6294,"2,2',4,6'-Tetrachlorobenzyl 5-toluene",Cc1cc(Cc2c(Cl)cccc2Cl)c(Cl)cc1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6295,"2,2',4,4'-Tetrachlorobenzyl 5-toluene",Cc1cc(Cc2ccc(Cl)cc2Cl)c(Cl)cc1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6296,"2,3,4,4'-Tetrachlorobenzyl 5-toluene",Cc1cc(Cc2ccc(Cl)cc2)c(Cl)c(Cl)c1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6297,"2,3,4,6'-Tetrachlorobenzyl 6-toluene",Cc1cc(Cl)c(Cl)c(Cl)c1Cc1ccccc1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6298,"2,3,4,4'-Tetrachlorobenzyl 6-toluene",Cc1cc(Cl)c(Cl)c(Cl)c1Cc1ccc(Cl)cc1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6299,"2,2',4,5-tetrachlorobiphenyl",Clc1cc(Cl)c(-c2ccccc2Cl)cc1Cl,0.35140883123032995,Wang et al. 2009,None,None,A5370,25.0
CpId_6300,"3,3',4,4'-TETRACHLOROBIPHENYL",Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1Cl,0.10930911062974924,Wang et al. 2009,None,None,A5370,25.0
CpId_6302,"2,4,4',6-Tetrachlorobiphenyl",Clc1ccc(-c2c(Cl)cc(Cl)cc2Cl)cc1,0.23150630969494448,Wang et al. 2009,None,None,A5370,25.0
CpId_6303,"3,3',5,5'-TETRACHLOROBIPHENYL",Clc1cc(Cl)cc(-c2cc(Cl)cc(Cl)c2)c1,0.8780031359093582,Wang et al. 2009,None,None,A5370,25.0
CpId_6304,"2,3,7,8-TETRACHLORODIBENZOFURAN",Clc1cc2oc3cc(Cl)c(Cl)cc3c2cc1Cl,0.11728574792644897,Wang et al. 2009,None,None,A5370,25.0
CpId_6305,"1,2,3,4-TETRACHLORODIBENZO-P-DIOXIN",Clc1c(Cl)c(Cl)c2c(c1Cl)Oc1ccccc1O2,0.08217080787400495,Wang et al. 2009,None,None,A5370,25.0
CpId_6306,"1,2,3,7-Tetrachlorodibenzo-p-dioxin",Clc1ccc2c(c1)Oc1cc(Cl)c(Cl)c(Cl)c1O2,0.008691758548571725,Wang et al. 2009,None,None,A5370,25.0
CpId_6307,"1,3,6,8-TETRACHLORODIBENZO-P-DIOXIN",Clc1cc(Cl)c2c(c1)Oc1c(Cl)cc(Cl)cc1O2,0.0015000000000000568,Wang et al. 2009,None,None,A5370,25.0
CpId_6308,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",Clc1cc2c(cc1Cl)Oc1cc(Cl)c(Cl)cc1O2,0.5243118156212009,Wang et al. 2009,None,None,A5370,25.0
CpId_6309,"2,2',4,4'-TETRACHLORODIPHENYL ETHER",Clc1ccc(Oc2ccc(Cl)cc2Cl)c(Cl)c1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6310,"3,3',4,4'-Tetrachlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)c(Cl)c2)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6313,"3,4,5,6-TETRACHLOROVERATROLE",COc1c(Cl)c(Cl)c(Cl)c(Cl)c1OC,0.00043358966777375357,Wang et al. 2009,None,None,A5370,25.0
CpId_6317,"2,4,6-Tribromobiphenyl",Brc1cc(Br)c(-c2ccccc2)c(Br)c1,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6318,"2,2,2-TriChloro-1,1-ethanediol",OC(O)C(Cl)(Cl)Cl,0.4630805638022703,Wang et al. 2009,None,None,A5370,25.0
CpId_6319,"2,3,4-Trichloroanisole",COc1ccc(Cl)c(Cl)c1Cl,0.0010999999999999933,Wang et al. 2009,None,None,A5370,25.0
CpId_6320,"2,4,6-TRICHLOROANISOLE",COc1c(Cl)cc(Cl)cc1Cl,0.06526164008563275,Wang et al. 2009,None,None,A5370,25.0
CpId_6324,"3,4,4'-TRICHLOROBIPHENYL",Clc1ccc(-c2ccc(Cl)c(Cl)c2)cc1,0.27045056145343094,Wang et al. 2009,None,None,A5370,25.0
CpId_6325,"1,2,4-TRICHLORODIBENZO-P-DIOXIN",Clc1cc(Cl)c2c(c1Cl)Oc1ccccc1O2,0.03321849026127007,Wang et al. 2009,None,None,A5370,25.0
CpId_6326,"2,4,5-TRICHLORODIPHENYL ETHER",Clc1cc(Cl)c(Oc2ccccc2)cc1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6327,"3,4,5-Trichlorodiphenyl ether",Clc1cc(Oc2ccccc2)cc(Cl)c1Cl,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6330,"1,1,2-Trichlorofluoroethane",FC(Cl)(Cl)CCl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6331,"3,4,5-Trichloroveratrole",COc1cc(Cl)c(Cl)c(Cl)c1OC,5.1639777949311874e-05,Wang et al. 2009,None,None,A5370,25.0
CpId_6332,Veratrole,COc1ccccc1OC,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6333,VERNOLATE,CCCSC(=O)N(CCC)CCC,0.027412892344053634,Wang et al. 2009,None,None,A5370,25.0
CpId_6334,"1,1,3,4,4-Pentachloro-1,2-Butadiene",ClC(Cl)=C=C(Cl)C(Cl)Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6335,"2,2',3,3',4,4',5,5',6'-Nonachlorodiphenyl ether",Clc1cc(Oc2c(Cl)c(Cl)c(Cl)c(Cl)c2Cl)c(Cl)c(Cl)c1Cl,0.6717514421272196,Wang et al. 2009,None,None,A5370,25.0
CpId_6337,"2,2',4,5'-Tetrachlorobenzyl-5 toluene",Cc1cc(Cc2cc(Cl)ccc2Cl)c(Cl)cc1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6338,"2,4,4'-Trichlorodiphenyl ether",Clc1ccc(Oc2ccc(Cl)cc2Cl)cc1,0.00020655911179770614,Wang et al. 2009,None,None,A5370,25.0
CpId_6340,Aldicarb,CNC(=O)ON=CC(C)(C)SC,0.39563899580299217,Wang et al. 2009,None,None,A5370,25.0
CpId_6342,Bifenox,COC(=O)c1cc(Oc2ccc(Cl)cc2Cl)ccc1[N+](=O)[O-],0.03446333800818865,Wang et al. 2009,None,None,A5370,25.0
CpId_6348,Chloroneb,COc1cc(Cl)c(OC)cc1Cl,0.0016431676725155607,Wang et al. 2009,None,None,A5370,25.0
CpId_6356,o-dibutylphthalate,CCCCc1ccc(C(=O)[O-])c(C(=O)[O-])c1CCCC,0.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6357,Diclofop-methyl,COC(=O)C(C)Oc1ccc(Oc2ccc(Cl)cc2Cl)cc1,0.9026907923905431,Wang et al. 2009,None,None,A5370,25.0
CpId_6361,Dimethoate,CNC(=O)CSP(=S)(OC)OC,0.11906662000745634,Wang et al. 2009,None,None,A5370,25.0
CpId_6362,"1,5-Dimethoxydiethyl ether",COCCOCCOC,0.003952530834794343,Wang et al. 2009,None,None,A5370,25.0
CpId_6363,b-Endosulfan,O=S1OCC2C(CO1)C1(Cl)C(Cl)=C(Cl)C2(Cl)C1(Cl)Cl,0.09975202147505496,Wang et al. 2009,None,None,A5370,25.0
CpId_6366,EPTC,CCCN(CCC)C(=O)SCC,0.0016812693617222804,Wang et al. 2009,None,None,A5370,25.0
CpId_6369,FLUORODIFEN,O=[N+]([O-])c1ccc(Oc2ccc(C(F)(F)F)cc2[N+](=O)[O-])cc1,0.0026462012305153537,Wang et al. 2009,None,None,A5370,25.0
CpId_6372,Leptophos,COP(=S)(Oc1cc(Cl)c(Br)cc1Cl)c1ccccc1,0.9409271220703648,Wang et al. 2009,None,None,A5370,25.0
CpId_6374,parathion,CCO[P+]([S-])(OCC)Oc1ccc([N+](=O)[O-])cc1,0.14566399692442908,Wang et al. 2009,None,None,A5370,25.0
CpId_6376,PERTHANE,CCc1ccc(C(c2ccc(CC)cc2)C(Cl)Cl)cc1,0.29492398132723074,Wang et al. 2009,None,None,A5370,25.0
CpId_6381,2-Amino-5-bromobenzoic acid,CC[NH+](CC)CC1CC([NH2+]C2CC[NH2+]C3CC(Cl)CCC32)CCC1O,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6382,4-Iodophenol,C[NH+]1C2CCC1CC(OC(=O)C(CO)C1CCCCC1)C2,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6384,Acetaminophen,C1CCC(CN2CC[NH2+]C2)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6385,Acetazolamide,C[NH+](C)CC1C[NH2+]C2CCC(Br)CC12,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6386,Alprenolol,CCCC[NH+]1CCCCC1C(=O)NC1C(C)CCCC1C,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6387,Amantadine,CC(C(=O)[O-])C1CCC2C(C1)[NH2+]C1CCC(Cl)CC12,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6388,Amitriptyline,COC1CCCCC1OCC[NH2+]CC(O)COC1CCCC2[NH2+]C3CCCCC3C21,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6389,amodiaquine,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(NC(=O)CC3CCCS3)C2SC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6391,Azathioprine,[NH3+]C1CCC(Br)CC1C(=O)[O-],-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6392,benzylimidazole,C[NH+](C)CCCN1C2CCCCC2SC2CCC(Cl)CC21,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6393,bromogramine,CCCNC(=O)[N-]S(=O)(=O)C1CCC(Cl)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6394,bupivacaine,C[NH+](C)CCC=C1C2CCCCC2SC2CCC(Cl)CC12,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6395,carprofen,O=C1NC2CC(Cl)CCC2O1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6396,Carvedilol,CN=C(NC#N)NCCSCC1NC[NH2+]C1C,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6397,Cephalothin,O=C([O-])C1=CN(C2CC2)C2CC(N3CC[NH2+]CC3)C(F)CC2C1=O,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6398,Chlorpheniramine,C[NH+]1CC2CC1CN2C1CC2C(CC1F)C(=O)C(C(=O)[O-])=CN2C1CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6400,chlorpropamide,C[NH2+]CCC[NH+]1C2CCCCC2CCC2CCCCC21,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6401,Chlorprothixene,C[NH+](C)CCC=C1c2ccccc2Sc2ccc(Cl)cc21,0.618506301503873,Wang et al. 2009,None,None,A5370,25.0
CpId_6402,Chlorzoxazone,OC1CCC(I)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6403,Cimetidine,O=C([O-])CC1CCCCC1[NH2+]C1C(Cl)CCCC1Cl,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6404,Ciprofloxacin,C[NH+]1CCN(C2CC3C(CC2F)C(=O)C(C(=O)[O-])=CN3C2CCC(F)CC2)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6405,danofloxacin,COC1CCC(C2SC3CCCCC3N(CC[NH+](C)C)C(=O)C2OC(C)=O)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6406,Deprenyl,C[NH+](C)CCOC(C1CCCCC1)C1CCCCC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6407,Desipramine,O=C1NC(=O)C(C2CCCCC2)(C2CCCCC2)N1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6408,diazoxide,CC[NH+]1CCN(C2CC3C(CC2F)C(=O)C(C(=O)[O-])=CN3C2CC2)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6409,Diclofenac,NC(CCSCC1CSC([NH+]=C(N)N)N1)=NS(N)(=O)=O,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6410,difloxacin,CC(C(=O)[O-])C1CCCC(OC2CCCCC2)C1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6411,Diltiazem,O=C([O-])C1CCCCC1[NH2+]C1CCCC(C(F)(F)F)C1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6412,diphenhydramine,CC1CCC2CC(F)CC3C(=O)C(C(=O)[O-])=CN1C23,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6413,diphenylhydantoin,O=C([O-])C1CC(Br)C(O)CC1O,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6414,enrofloxacin,CC(C(=O)[O-])C1CCC(C2CCCCC2)C(F)C1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6415,Famotidine,CC1CNC(C(=O)NCCC2CCC(S(=O)(=O)[N-]C(=O)NC3CCCCC3)CC2)C[NH2+]1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6416,fenoprofen,NC1=NC2NCNC2C(=O)N1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6418,Flumequine,NS(=O)(=O)C1CC2C(CC1C(F)(F)F)NCNS2(=O)=O,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6420,glipizide,CC(C)CC1CCC(C(C)C(=O)[O-])CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6421,Guanine,CCN1C=C(C(=O)[O-])C(=O)C2CC(F)C(N3CC[NH2+]C(C)C3)C(F)C21,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6423,Hydroflumethiazide,CC1CCCC([NH2+]C2CCCCC2C(=O)[O-])C1C,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6424,5-hydroxybenzoic acid,CC(=O)NC1CCC(O)CC1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6425,Ibuprofen,CC[NH+](CC)CCNC(=O)C1CC(Cl)C([NH3+])CC1OC,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6427,Maprotiline,ClC1CCC(COC(CN2CC[NH2+]C2)C2CCC(Cl)CC2Cl)C(Cl)C1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6429,Metoclopramide,C=CC[NH+]1CCC23C4OC5C(O)CCC(CC1C2(O)CCC4=O)C53,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6430,Metronidazole,COC1CCC2CC(C(C)C(=O)[O-])CCC2C1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6431,miconazole,O=C([O-])C1CCCNC1[NH2+]C1CCCC(C(F)(F)F)C1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6433,Naloxone,CCN1C=C(C(=O)[O-])C(=O)C2CC(F)C(N3CC[NH2+]CC3)CC21,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6435,Niflumic acid,CC(=O)NC1NNC(S(N)(=O)=O)S1,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6436,nitrofurantoin,CC1COC2C(N3CCN(C)CC3)C(F)CC3C(=O)C(C(=O)[O-])=CN1C32,-1.0,Wang et al. 2009,None,None,A5370,25.0
CpId_6437,Norfloxacin,C[NH+](C)C1C([O-])=C(C(N)=O)C(=O)C2(O)C(O)=C3C(=O)C4C(O)CCCC4C(C)(O)C3C(O)C12,-1.0,Wang et al. 2009,None,None,A5370,25.0
